street,district,rooms,area,price,material,condition,year_built,total_floors
Saadu tn 1-3,Haabersti,2.0,35.1,93900,kivimaja,uus,2020.0,2.0
Järve 2-154,Kristiine,2.0,46.4,139600,paneelmaja,uus,2020.0,18.0
Võidujooksu 7-1,Lasnamäe,2.0,47.6,103290,kivimaja,uus,2020.0,7.0
Energia 6,Kristiine,2.0,39.4,75500,paneelmaja,renoveeritud,1962.0,5.0
Kuukressi tee 5-11,Pirita,4.0,87.0,193000,kivimaja,uus,2020.0,3.0
Tina 7,Kadriorg,3.0,72.4,279000,kivimaja,keskmises seisukorras,2008.0,5.0
Päevalille 4-50,Mustamäe,2.0,39.6,101900,paneelmaja,uus,2020.0,15.0
Ehitajate tee 91/1-51,Mustamäe,3.0,60.2,144900,paneelmaja,uus,2020.0,8.0
Kivila tn 18,Lasnamäe,3.0,64.7,89000,paneelmaja,heas korras,1983.0,9.0
Raua 16a,Kesklinn,3.0,87.1,199900,kivimaja,renoveeritud,1997.0,6.0
Paepargi 50/2-38,Lasnamäe,3.0,68.8,158500,paneelmaja,uus,2020.0,8.0
Toom-Kuninga 15-34,Kesklinn,4.0,87.4,229000,paneelmaja,uus,2020.0,4.0
Soodi 4-1,Haabersti,2.0,52.8,137900,kivimaja,uus,2021.0,5.0
Paldiski mnt 5,Kesklinn,3.0,89.2,265500,kivimaja,uus,2014.0,6.0
Päevalille 4-67,Haabersti,3.0,58.0,144900,paneelmaja,uus,2020.0,15.0
Toom-Kuninga 15-6,Kesklinn,3.0,66.0,169000,paneelmaja,uus,2020.0,8.0
Spordi 8,Kristiine,2.0,46.7,94900,kivimaja,keskmises seisukorras,1960.0,2.0
Algi 55,Kristiine,2.0,53.9,125000,kivimaja,renoveeritud,2006.0,3.0
Seebi tn 1-1905,Kesklinn,2.0,38.6,142900,kivimaja,uus,2020.0,20.0
Liikuri 18c-25,Lasnamäe,2.0,42.8,107790,kivimaja,uus,2020.0,7.0
Tagala 10-12,Haabersti,3.0,83.2,154000,kivimaja,uus,2019.0,4.0
Kärberi 28,Lasnamäe,1.0,34.2,62000,paneelmaja,heas korras,1985.0,9.0
Soodi 4-11,Haabersti,2.0,43.9,113500,kivimaja,uus,2021.0,5.0
Kungla 45/1-2,Põhja-Tallinn,2.0,56.0,119000,palkmaja,heas korras,1908.0,3.0
Pöörise 7-66,Mustamäe,3.0,53.0,120000,paneelmaja,uus,2020.0,12.0
Võistluse 3-21,Kesklinn,3.0,74.1,213900,kivimaja,uus,2020.0,6.0
Lasnamäe 4A,Kesklinn,3.0,89.3,320000,paneelmaja,uus,2018.0,13.0
Soo 17,Põhja-Tallinn,3.0,64.8,165000,puitmaja,uus,2012.0,3.0
Jakobi 16/1-5,Kesklinn,2.0,29.3,109000,puitmaja,uus,2020.0,4.0
C.R. Jakobsoni 7/3,Kesklinn,3.0,84.6,235000,kivimaja,uus,2018.0,5.0
Siidisaba 5a,Kristiine,2.0,46.2,100000,kivimaja,renoveeritud,1971.0,5.0
Paepargi 50/1-2,Lasnamäe,4.0,102.7,199000,paneelmaja,uus,2020.0,14.0
Lesta tn 10/1-7,Haabersti,4.0,190.6,762400,kivimaja,uus,2019.0,6.6790013374944275
Tartu mnt 52,Kesklinn,3.0,100.7,359000,kivimaja,uus,2018.0,13.0
Pöörise 7-62,Mustamäe,2.0,45.4,102000,paneelmaja,uus,2020.0,12.0
Soodi 4-2,Haabersti,2.0,49.7,128000,kivimaja,uus,2020.0,5.0
Kuldnoka tn 7,Kristiine,3.0,63.0,95000,paneelmaja,san. remont tehtud,1973.0,9.0
F.R.Faehlmanni 2,Kadriorg,3.0,68.4,169000,kivimaja,vajab renoveerimist,1924.0,5.0
Soodi 4,Põhja-Tallinn,2.0,49.7,140000,kivimaja,uus,2021.0,5.0
P.Süda 16,Kesklinn,5.0,131.8,264000,puitmaja,renoveeritud,2009.0,3.0
Poordi 3,Kesklinn,3.0,84.0,330000,kivimaja,uus,2017.0,6.0
Puhangu 12,Põhja-Tallinn,2.0,37.9,63900,kivimaja,vajab san. remonti,1971.0,5.0
Kadaka tee 159,Mustamäe,2.0,45.3,83000,paneelmaja,renoveeritud,1965.0,5.0
Vabaõhumuuseumi tee 1,Haabersti,2.0,56.9,219900,kivimaja,uus,2017.0,8.0
Punane 9,Lasnamäe,3.0,56.6,109900,kivimaja,renoveeritud,1974.0,5.0
Jalami tn 1-36,Haabersti,4.0,74.9,154900,paneelmaja,uus,2019.0,8.0
Paepargi 50/2,Lasnamäe,3.0,68.8,153500,paneelmaja,uus,2020.0,8.0
Sikupilli 3,Kesklinn,1.0,19.2,54000,kivimaja,renoveeritud,1958.0,4.0
Mutsamäe tee 177,Mustamäe,2.0,43.2,69000,paneelmaja,keskmises seisukorras,1971.0,9.0
Pärnu maantee 29-704,Kesklinn,5.0,203.6,1057000,kivimaja,uus,2020.0,8.0
Sõle 64,Põhja-Tallinn,3.0,98.2,139900,kivimaja,renoveeritud,1965.0,4.0
Jahu 6-6/2-78,Põhja-Tallinn,2.0,64.4,206000,paneelmaja,uus,2019.0,6.6790013374944275
Rävala puiestee 19,Kesklinn,5.0,209.6,960000,kivimaja,heas korras,2006.0,8.0
Kalaranna tn 8/12-24,Põhja-Tallinn,2.0,46.7,274000,paneelmaja,uus,2020.0,5.0
Jõeküla tee 18/3-9,Haabersti,4.0,108.0,229000,kivimaja,uus,2021.0,2.0
Paepargi 17,Lasnamäe,4.0,101.2,239000,kivimaja,uus,2015.0,4.0
Seebi tn 1-1509,Kesklinn,2.0,36.9,133900,kivimaja,uus,2020.0,20.0
Ehitajate tee 70,Mustamäe,2.0,47.4,73000,paneelmaja,renoveeritud,1967.0,5.0
Alasi 5-36,Põhja-Tallinn,4.0,83.3,203000,kivimaja,uus,2020.0,4.0
Tartu mnt 84A,Kesklinn,2.0,48.0,250000,kivimaja,uus,2006.0,14.0
Päevalille 4-60,Haabersti,3.0,58.0,141900,paneelmaja,uus,2020.0,15.0
Vesivärava 50,Kesklinn,2.0,60.0,129170,kivimaja,uus,2019.0,8.0
Tagala 10,Haabersti,2.0,66.4,119000,kivimaja,uus,2019.0,4.0
Lüüsi tn 4-24,Kesklinn,3.0,68.2,175000,kivimaja,uus,2019.0,6.0
Tuletorni tn 10-2,Lasnamäe,4.0,76.6,189000,kivimaja,uus,2021.0,3.0
Poska 14a-2,Kadriorg,4.0,120.2,454950,kivimaja,uus,2021.0,3.0
Falgi tee 6 // Toompuiestee 18-6,Kesklinn,3.0,59.9,174900,palkmaja,uus,2017.0,3.0
Kalaranna tn 8/1-26,Põhja-Tallinn,4.0,123.6,678000,paneelmaja,uus,2020.0,5.0
Ehitajate tee 91/2-10,Mustamäe,1.0,20.6,66900,kivimaja,uus,2020.0,8.0
Soodi 4-45,Haabersti,3.0,77.2,203000,kivimaja,uus,2021.0,5.0
Pöörise 7-40,Mustamäe,3.0,64.2,132000,paneelmaja,uus,2020.0,12.0
Saku 5,Kesklinn,2.0,37.1,73000,kivimaja,vajab renoveerimist,1960.0,4.0
Päevalille 2-15,Mustamäe,2.0,39.7,105900,paneelmaja,uus,2020.0,4.0
Lesta tn 10/3-51,Haabersti,3.0,102.6,328320,paneelmaja,uus,2019.0,3.0
Tildri 7-9,Kristiine,2.0,45.0,129000,kivimaja,uus,2020.0,2.0
C. R. Jakobsoni tn 13-33,Kesklinn,4.0,110.1,440000,paneelmaja,uus,2019.0,6.0
