street,district,rooms,area,price,price_m2,material,condition,year_built,age,floor,total_floors
Aia tn 5b,Vanalinn,3,90.8,288000,3172,kivimaja,heas korras,1935,84,5,6
Pöörise 7-2,Mustamäe,2,45.1,98000,2173,paneelmaja,uus,2020,0,1,12
Soodi 4-25,Haabersti,2,52.8,150900,2858,kivimaja,uus,2021,0,5,5
Tagala 10-34,Haabersti,3,71,130000,1831,kivimaja,uus,2019,0,1,4
Suur-Karja 2,Kesklinn,4,171,570000,3333,kivimaja,renoveeritud,-,-,2,4
Poordi 3-54,Kesklinn,3,83.9,289000,3445,kivimaja,uus,2017,2,3,6
Pärnu mnt 76,Kesklinn,2,38.4,109900,2862,-,-,1963,56,2,5
Tähe 42,Nõmme,3,75.8,147000,1939,palkmaja,-,1936,83,2,2
Pirita tee 26F,Pirita,2,79.7,189000,2371,kivimaja,renoveeritud,2003,16,2,16
Sireli 13,Nõmme,3,110,165000,1500,-,uus,2018,1,1,2
Kalaranna 8/2-8,Põhja-Tallinn,4,99.9,354900,3553,paneelmaja,uus,2020,0,2,5
Järvevana tee 3e,Kesklinn,4,79,140000,1772,-,-,1979,40,2,3
Jalami tn 1-88,Mustamäe,4,94.8,218800,2308,paneelmaja,uus,2019,0,7,8
Seebi tn 1-1308,Kristiine,2,44.7,154900,3465,kivimaja,uus,2020,0,13,20
Sõle 5,Põhja-Tallinn,2,43.4,80000,1843,paneelmaja,heas korras,1969,50,5,5
Vana-Lõuna 21,Kesklinn,2,54.2,120000,2214,kivimaja,-,-,-,2,2
Seebi tn 1-610,Kesklinn,3,69.6,228900,3289,kivimaja,uus,2020,0,6,20
Tiiu 3-B14,Kesklinn,2,51.8,161900,3125,paneelmaja,uus,2019,0,3,4
Veerenni tn 23,Kesklinn,1,20.4,46000,2255,puitmaja,keskmises seisukorras,-,-,1,2
Poordi 3-43,Kesklinn,3,126.5,509000,4024,kivimaja,uus,2016,3,6,7
Jalami tn 1-43,Haabersti,2,52.4,106900,2040,paneelmaja,uus,2019,0,4,8
Soodi 4-34,Haabersti,4,97.2,251000,2582,kivimaja,uus,2020,0,1,5
J. Vilmsi tänav 7-7,Kadriorg,1,39.6,127900,3227,puitmaja,renoveeritud,2019,0,3,3
Kärberi 50,Lasnamäe,1,32.7,59000,1804,paneelmaja,renoveeritud,-,-,9,9
