street,district,rooms,area,price,price_m2,material,condition,year_built,age,floor,total_floors
Wismari 28/1,Kesklinn,1,24.2,60000,2479,puitmaja,renoveeritud,-,-,2,2
Pikk 1,Vanalinn,2,65,247000,3800,kivimaja,renoveeritud,-,-,2,5
Mooni 115,Kristiine,3,69.9,139900,2001,kivimaja,renoveeritud,1985,34,2,5
Valge tn 16-46,Lasnamäe,1,35.9,95000,2646,paneelmaja,uus,2019,0,3,5
Tartu mnt 52,Kesklinn,3,61,189900,3113,paneelmaja,-,2016,3,5,-
Pärnu mnt 538a,Nõmme,2,42.2,76000,1801,kivimaja,-,1960,59,2,2
Ristiku,Põhja-Tallinn,2,44.6,160000,3587,kivimaja,uus,2015,4,1,3
Sipelga tn 3a,Mustamäe,2,69.4,132000,1902,kivimaja,uus,2008,11,3,8
Õismäe tee 119,Haabersti,2,46,68400,1487,kivimaja,keskmises seisukorras,1975,44,5,5
Valge 6A/1-5,Lasnamäe,2,76,210000,2763,kivimaja,uus,2019,0,2,3
Toom-Kuninga 15-87,Kesklinn,2,52.9,175000,3308,paneelmaja,uus,2020,0,5,8
Kopli tn 72,Põhja-Tallinn,7,460.9,450000,976,kivimaja,-,-,-,2,2
Jahu 6-6/3-87,Põhja-Tallinn,1,31.7,147000,4637,paneelmaja,uus,2019,0,3,-
Kauge 10,Nõmme,5,87.4,149000,1705,kivimaja,heas korras,1991,28,2,3
Sõpruse pst 244-18,Mustamäe,2,47.1,87900,1866,paneelmaja,renoveeritud,1966,53,1,5
Elektroni 10,Mustamäe,2,,73000,0,-,renoveeritud,-,-,4,5
Sõpruse pst 220,Mustamäe,1,29.8,57000,1913,paneelmaja,vajab renoveerimist,1968,51,5,5
Paldiski mnt 227,Haabersti,4,100,115000,1150,paneelmaja,vajab renoveerimist,1980,39,5,9
Wismari 35a,Kesklinn,2,77.1,226400,2936,kivimaja,heas korras,1999,20,4,4
Järve 2-199,Kristiine,2,58.1,174800,3009,paneelmaja,uus,2020,0,14,18
Võidujooksu 7-40,Lasnamäe,3,61.8,140290,2270,kivimaja,uus,2020,0,2,7
Ehitajate tee 86,Mustamäe,2,43.2,78000,1806,paneelmaja,renoveeritud,1974,45,5,9
Kadaka tee 191d-36,Haabersti,4,78.2,178900,2288,kivimaja,uus,2020,0,3,5
Tuukri tn 64-50,Kesklinn,4,122.8,285000,2321,kivimaja,uus,2018,1,2,5
Kotka 3,Kristiine,1,22.6,52000,2301,kivimaja,renoveeritud,1970,49,3,5
Pirita tee 20a,Kesklinn,4,157.7,498000,3158,-,uus,2018,1,4,10
Süsta 3,Põhja-Tallinn,2,35.1,73500,2094,puitmaja,renoveeritud,1914,105,1,2
Seebi tn 1-610,Mustamäe,3,69.6,228900,3289,kivimaja,uus,2020,0,6,20
Majaka 54,Lasnamäe,4,115.8,239000,2064,kivimaja,uus,2019,0,3,4
Põõsa 1/2,Pirita,4,126,320000,2540,kivimaja,uus,2018,1,2,3
Sõpruse pst 230,Mustamäe,2,61.2,145000,2369,kivimaja,heas korras,2007,12,5,5
Järve 2-184,Kristiine,3,68.7,194500,2831,paneelmaja,uus,2020,0,12,18
Poordi 3,Kesklinn,2,56.1,199900,3563,kivimaja,uus,2016,3,2,6
Tedre 27,Kristiine,2,39,74500,1910,kivimaja,heas korras,1975,44,2,5
Punane 31,Lasnamäe,3,59.5,98000,1647,paneelmaja,renoveeritud,1973,46,2,9
Paldiski mnt 21-8,Kesklinn,2,63.2,179000,2832,paneelmaja,uus,2019,0,3,5
Gonsiori 29-2,Kesklinn,1,38.7,103900,2685,kivimaja,uus,2019,0,1,6
Sakala 18,Kesklinn,4,116.9,335000,2866,kivimaja,uus,2002,17,4,7
Liikuri 18c-22,Lasnamäe,2,43.1,111790,2594,kivimaja,uus,2020,0,6,7
Gonsiori 9-1,Vanalinn,3,108.6,381900,3517,kivimaja,uus,-,-,2,7
Paldiski mnt 201,Haabersti,2,46.7,120000,2570,paneelmaja,-,2015,4,3,5
Tööstuse 93,Põhja-Tallinn,1,30.2,59900,1983,paneelmaja,heas korras,-,-,3,5
Süda 8,Kesklinn,5,226.7,649000,2863,puitmaja,renoveeritud,2005,14,,-
Videviku 15-1,Kesklinn,3,73.6,211000,2867,kivimaja,uus,2020,0,1,5
Valge tn 16-28,Kesklinn,1,23.3,68900,2957,kivimaja,uus,2019,0,2,5
Ristiku 22/1-1,Põhja-Tallinn,4,75.2,229500,3052,kivimaja,-,2020,0,1,3
Tuulemaa 15,Põhja-Tallinn,3,69.3,115900,1672,kivimaja,keskmises seisukorras,-,-,2,3
Soodi 4-39,Põhja-Tallinn,5,113,279000,2469,kivimaja,uus,2020,0,3,5
Tagala 10-57,Haabersti,3,66.8,130000,1946,kivimaja,uus,2019,0,4,4
Mahla 82b,Nõmme,1,30.1,57500,1910,-,renoveeritud,1987,32,4,5
Ümera 28b,Lasnamäe,2,45.6,81800,1794,paneelmaja,uus,2020,0,4,9
akadeemia tee 54,Mustamäe,3,50.7,83000,1637,paneelmaja,heas korras,1964,55,3,4
Tuletorni tn 10-4,Lasnamäe,3,65.5,165000,2519,kivimaja,uus,2021,0,2,3
Narva mnt 40-406,Kesklinn,1,22.1,106900,4837,kivimaja,uus,2018,1,4,4
Toom-Kuninga 15-100,Kesklinn,2,54.5,205000,3761,paneelmaja,uus,2020,0,7,8
Merirahu tn. 4,Haabersti,4,87.3,235000,2692,kivimaja,-,2007,12,1,-
Karsti 8,Mustamäe,3,61.7,144900,2348,-,uus,2017,2,3,7
Tildri 7-5,Kristiine,3,67.1,172000,2563,kivimaja,uus,2020,0,1,2
Pikk 36,Vanalinn,3,98.1,430000,4383,kivimaja,renoveeritud,-,-,2,7
Pikk 53,Vanalinn,5,103,235000,2282,-,-,1500,519,3,4
Pille 9/1-26,Kesklinn,2,48.9,145900,2984,paneelmaja,uus,2020,0,3,4
Alasi 5-13,Põhja-Tallinn,2,47.9,122000,2547,kivimaja,uus,2020,0,2,4
Vesivärava 50-21,Kesklinn,3,95.9,228000,2377,-,uus,2019,0,7,9
Lasnamäe tn 16,Lasnamäe,4,104.1,260000,2498,kivimaja,uus,2019,0,2,6
Valge tn 16-35,Lasnamäe,3,50.9,131000,2574,paneelmaja,uus,2019,0,2,5
Seebi tn 1-1303,Kristiine,2,46.2,147900,3201,kivimaja,uus,2020,0,13,20
Ao,Kesklinn,2,65,147000,2262,kivimaja,heas korras,2004,15,4,4
Mahtra tn 23,Lasnamäe,3,64.8,105000,1620,paneelmaja,renoveeritud,1983,36,9,9
Noorkuu 2,Haabersti,2,49.1,129900,2646,paneelmaja,uus,2018,1,4,4
Valdeku 112,Nõmme,3,61,109900,1802,paneelmaja,renoveeritud,1970,49,4,5
Jahu 5-4,Kesklinn,3,73.9,269900,3652,kivimaja,uus,2020,0,1,3
Valge 6A/2-4,Lasnamäe,2,55.6,139000,2500,kivimaja,uus,2020,0,1,4
Männiku tee 10-1,Nõmme,3,91.8,114800,1251,-,renoveeritud,-,-,,-
Liikuri 18c-62,Lasnamäe,2,46.6,110790,2377,kivimaja,uus,2020,0,7,7
Rotermanni 14,Kesklinn,2,52.3,249000,4761,kivimaja,uus,2018,1,4,7
Lõime 25,Põhja-Tallinn,2,39.2,71990,1836,kivimaja,renoveeritud,1960,59,3,4
Tööstuse 28a-4,Põhja-Tallinn,3,78.5,206000,2624,kivimaja,uus,1949,70,2,4
Astangu tn 20-145,Haabersti,3,69.8,149900,2148,paneelmaja,uus,2019,0,2,5
Gonsiori 29-27,Kesklinn,4,107.3,252900,2357,kivimaja,uus,2019,0,4,6
Akadeemia tee 46-119,Mustamäe,1,11.6,12000,1034,-,-,-,-,3,5
Tööstuse 93,Põhja-Tallinn,2,45.3,68000,1501,paneelmaja,vajab san. remonti,-,-,5,5
Spordi tn 19,Kristiine,3,70,144600,2066,kivimaja,renoveeritud,-,-,1,3
Lai tn 9,Vanalinn,4,201.4,675000,3352,kivimaja,uus,-,-,1,3
Suur-Ameerika 27,Kesklinn,1,28.1,75000,2669,puitmaja,uus,-,-,1,2
Soodi 4-46,Põhja-Tallinn,4,97.2,244000,2510,kivimaja,uus,2020,0,4,5
Pae 68-33,Lasnamäe,3,65,88000,1354,-,-,-,-,10,14
Tartu mnt 70,Kesklinn,2,47.9,129000,2693,kivimaja,renoveeritud,1959,60,1,4
Pirita tee 28a,Pirita,1,47.7,220000,4612,kivimaja,heas korras,-,-,6,10
E. Vilde tee 79,Mustamäe,3,61,82000,1344,paneelmaja,heas korras,1966,53,5,5
Õismäe tee 55,Haabersti,2,46.6,74000,1588,paneelmaja,heas korras,1974,45,2,5
Pärnu mnt 130-46,Kesklinn,3,133,215000,1617,kivimaja,-,2008,11,8,8
Kungla 6,Põhja-Tallinn,2,27,75000,2778,puitmaja,renoveeritud,1952,67,1,2
Rebase 2d,Nõmme,4,115.1,219000,1903,kivimaja,-,2008,11,2,2
Hiiu-Suurtüki 4/1,Nõmme,5,182.2,419000,2300,kivimaja,renoveeritud,2013,6,3,3
K.A.Hermanni 2,Kesklinn,4,69.2,159000,2298,kivimaja,heas korras,1999,20,1,5
Järve 2-138,Kristiine,3,68,183500,2699,paneelmaja,uus,2020,0,5,18
Kase 68/1,Pirita,1,41.7,81500,1954,paneelmaja,uus,2006,13,3,5
Jalami tn 1-91,Haabersti,3,62.3,128900,2069,paneelmaja,uus,2019,0,8,8
Võidujooksu 7-24,Lasnamäe,1,29.8,84290,2829,kivimaja,uus,2020,0,6,7
A.H. Tammsaare tee 89a-55,Mustamäe,2,47.5,134800,2838,-,uus,2019,0,5,6
Kuldnoka 5,Kristiine,4,79.7,211800,2657,paneelmaja,uus,2015,4,6,6
Mustamäe tee 163,Mustamäe,3,43.6,79990,1835,paneelmaja,renoveeritud,1973,46,4,5
Raekoja plats 8,Vanalinn,4,142.4,850000,5969,kivimaja,-,1929,90,5,6
Tõnismägi 11a-53,Kesklinn,3,65.6,235000,3582,kivimaja,uus,2019,0,5,7
Juhkentali 15,Kesklinn,3,65.7,170000,2588,kivimaja,uus,2011,8,3,5
Seebi tn 1-1904,Kesklinn,2,40.4,147900,3661,kivimaja,uus,2020,0,19,20
Koidu tn 99-41,Kesklinn,3,91.5,295000,3224,kivimaja,uus,2019,0,5,5
Mustamäe tee 112,Mustamäe,2,43,79000,1837,-,renoveeritud,-,-,2,5
Paldiski mnt. 157,Haabersti,3,66.3,109000,1644,paneelmaja,renoveeritud,1977,42,4,5
Veerenni 36a/3-9,Kesklinn,4,118,384900,3262,paneelmaja,uus,2020,0,3,3
Astangu 20-168,Haabersti,3,76.9,163100,2121,paneelmaja,uus,2019,0,5,5
Astangu 20-155,Haabersti,3,69.8,157900,2262,paneelmaja,uus,2019,0,3,5
Kase 68/2,Pirita,2,46.9,104900,2237,kivimaja,uus,2006,13,3,5
Paekalda 22-47,Lasnamäe,2,57.9,150000,2591,-,uus,2020,0,5,5
Seebi tn 1-506,Kristiine,3,69.4,232900,3356,kivimaja,uus,2020,0,5,20
Künnapuu tn. 9,Pirita,3,77.9,150518,1932,-,renoveeritud,-,-,3,3
Lesta tn 10/2-20,Haabersti,4,150.2,450600,3000,paneelmaja,uus,2019,0,2,1
Mardi 4,Kesklinn,4,84.8,225000,2653,kivimaja,uus,2014,5,4,8
Kase 68/2,Pirita,3,64.9,139900,2156,kivimaja,uus,2006,13,3,5
Soodi 4-27,Põhja-Tallinn,3,67.9,181900,2679,kivimaja,uus,2020,0,5,5
Valge 6A/1-3,Lasnamäe,2,72.5,180000,2483,kivimaja,uus,2019,0,1,3
Seebi tn 1-1504,Kristiine,2,40.4,136400,3376,kivimaja,uus,2020,0,15,20
Tagala 10B-58,Haabersti,3,71,140000,1972,kivimaja,uus,2019,0,4,4
Pärnu mnt 126,Kesklinn,4,94.5,223000,2360,-,-,2016,3,5,8
Salme 6,Põhja-Tallinn,2,30.3,85000,2805,puitmaja,renoveeritud,-,-,1,2
Staadioni 1/2-82,Kesklinn,4,112.6,380000,3375,kivimaja,uus,2017,2,6,6
Kaera 22,Põhja-Tallinn,2,55.6,115000,2068,kivimaja,-,2006,13,2,5
Kiive 8,Kesklinn,2,33,74500,2258,puitmaja,renoveeritud,1950,69,1,2
Tobiase 7-1,Kadriorg,4,87.1,240000,2755,-,uus,2019,0,1,6
Ranna tee 46a,Pirita,5,104.5,320000,3062,kivimaja,uus,2014,5,3,3
Linnamäe tee 38b,Lasnamäe,2,50,105900,2118,kivimaja,uus,2018,1,3,5
Pärnu mnt 110,Kesklinn,1,32.8,85000,2591,-,-,2006,13,12,15
Tornimäe,Kesklinn,3,98,425000,4337,kivimaja,uus,2007,12,26,30
Tagala 10B-57,Haabersti,3,66.8,130000,1946,kivimaja,uus,2019,0,4,4
kiive kesklinna piiril(paepark lähistel) 10,Kesklinn,1,15,31000,2067,-,renoveeritud,-,-,1,2
Karsti 8-4,Mustamäe,3,61.7,159900,2592,-,uus,2017,2,2,7
Järve 2-191,Kristiine,3,68.7,203700,2965,paneelmaja,uus,2020,0,13,18
Sõpruse pst 170,Kristiine,2,45.5,120000,2637,paneelmaja,san. remont tehtud,2005,14,4,6
Järve 2-224,Kristiine,4,123.2,369600,3000,paneelmaja,uus,2020,0,18,18
Energia 6,Kristiine,3,48.5,74900,1544,paneelmaja,san. remont tehtud,1962,57,3,5
Jahu 5-15,Kesklinn,1,34.7,149900,4320,kivimaja,uus,2020,0,2,3
Linnamäe tee 2,Lasnamäe,,49.6,15000,302,-,-,-,-,1,-
Kivinuka 2-5,Mustamäe,3,60.8,148000,2434,-,uus,2020,0,2,3
Liikuri 18c-3,Lasnamäe,2,42.6,102790,2413,kivimaja,uus,2020,0,1,7
Linnamäe tee 25,Lasnamäe,2,49.9,85000,1703,paneelmaja,renoveeritud,1988,31,2,9
Sõle 25b,Põhja-Tallinn,2,41,75000,1829,paneelmaja,heas korras,2003,16,1,4
Kadaka tee 193,Haabersti,2,75.3,148000,1965,paneelmaja,uus,2016,3,4,4
Seebi tn 1-2002,Kristiine,5,300.6,1500000,4990,kivimaja,uus,2020,0,20,20
Rataskaevu tn 8,Kesklinn,2,76.6,229000,2990,-,keskmises seisukorras,-,-,3,3
Tagala 10-44,Haabersti,3,66.8,126000,1886,paneelmaja,-,2019,0,2,4
Pikaliiva tn 90/1,Haabersti,3,73,139000,1904,kivimaja,uus,2012,7,2,3
Luha 30,Kesklinn,3,79.7,149900,1881,kivimaja,vajab renoveerimist,1950,69,1,3
Aiandi 8/2-11,Mustamäe,3,69.1,154990,2243,kivimaja,uus,2021,0,3,6
Lesta tn 10/3-44,Haabersti,3,102.4,348160,3400,paneelmaja,uus,2019,0,1,3
Hooldekodu tee 11,Lasnamäe,2,50.1,124900,2493,palkmaja,renoveeritud,1919,100,1,1
Paldiski mnt 85,Kristiine,5,115.6,180000,1557,paneelmaja,-,1986,33,7,-9
Võistluse 6-114,Kesklinn,3,74.3,189700,2553,kivimaja,uus,2019,0,3,14
Tildri 7-8,Kristiine,4,71.2,183000,2570,kivimaja,uus,2020,0,2,2
Pöörise 7-18,Mustamäe,3,52.5,118000,2248,paneelmaja,uus,2020,0,3,12
Sõle 76,Põhja-Tallinn,2,39.7,84990,2141,kivimaja,renoveeritud,1964,55,4,4
Pihlaka tn 2,Nõmme,3,68.1,85000,1248,-,vajab renoveerimist,-,-,1,2
Võistluse 6-16,Kesklinn,3,73.4,220000,2997,kivimaja,uus,2019,0,5,14
Läänemere tn. 17,Lasnamäe,3,65.4,83800,1281,paneelmaja,keskmises seisukorras,-,-,1,9
Astangu 20-168,Mustamäe,3,76.9,163100,2121,paneelmaja,uus,2019,0,5,5
Pelguranna 21,Põhja-Tallinn,2,39.8,83000,2085,paneelmaja,renoveeritud,-,-,1,4
Keava 7-4,Kesklinn,2,33.9,99000,2920,kivimaja,uus,2020,0,1,3
Tehnika 25,Kesklinn,2,53.1,178000,3352,kivimaja,heas korras,1936,83,5,5
Sõpruse pst 163,Mustamäe,2,43,73000,1698,paneelmaja,renoveeritud,-,-,7,9
Vabriku 19,Põhja-Tallinn,2,35,94000,2686,puitmaja,renoveeritud,1911,108,1,3
Võidujooksu 8C-23,Lasnamäe,4,98.1,240000,2446,paneelmaja,uus,2020,0,5,5
Vilde tee 121,Mustamäe,2,46,79900,1737,-,renoveeritud,-,-,4,5
Keava 7-3,Kesklinn,2,33.9,99000,2920,kivimaja,uus,2020,0,1,3
Kirsi 6,Kristiine,2,45,82000,1822,paneelmaja,keskmises seisukorras,-,-,,-
Gonsiori 9-31,Kesklinn,2,65.6,309900,4724,kivimaja,uus,-,-,6,7
F. R. Kreutzwaldi 4,Kesklinn,4,109.9,329000,2994,kivimaja,-,1994,25,6,7
Järve 2-164,Kristiine,2,58.4,166000,2842,paneelmaja,uus,2020,0,9,18
Staadioni 1,Kesklinn,3,50.1,154900,3092,kivimaja,uus,2017,2,5,6
Jahu 5-16,Kesklinn,4,100.6,371900,3697,kivimaja,uus,2020,0,2,3
Pille 9/2-52,Kesklinn,4,114.8,368900,3213,paneelmaja,uus,2020,0,6,6
Lehiste puiestee 19,Nõmme,2,38.2,79900,2092,-,-,1960,59,1,2
Ranna tee 46a,Pirita,4,96,252000,2625,kivimaja,uus,2014,5,2,3
Mahtra 72,Lasnamäe,2,55.5,85000,1532,paneelmaja,-,1983,36,1,9
Päevalille 2-8,Haabersti,3,61.7,155900,2527,paneelmaja,uus,2020,0,2,4
Randla 6,Põhja-Tallinn,4,99.2,249000,2510,kivimaja,uus,2017,2,5,5
E. Vilde tee 114,Mustamäe,2,55.3,79900,1445,kivimaja,-,1973,46,12,14
Alasi 5-19,Põhja-Tallinn,2,47.9,124000,2589,kivimaja,uus,2020,0,3,4
Jalami tn 1-35,Haabersti,4,86.7,187900,2167,paneelmaja,uus,2019,0,3,8
Lai tn 9,Kesklinn,5,207.4,1250000,6027,kivimaja,uus,1791,228,3,3
Jahu 5-28,Kesklinn,3,84.3,296900,3522,kivimaja,uus,2020,0,1,2
Vesivärava 50,Kadriorg,5,153.8,469000,3049,kivimaja,uus,2019,0,,-
Tuletorni tn 8,Lasnamäe,2,49.9,133000,2665,kivimaja,uus,2021,0,2,3
Kurni 14,Nõmme,1,31.4,65500,2086,kivimaja,renoveeritud,-,-,1,2
Jahu 5-42,Kesklinn,3,70.3,268900,3825,kivimaja,uus,2020,0,1,3
Pöörise 7-61,Mustamäe,2,49.3,107000,2170,paneelmaja,uus,2020,0,11,12
Angerja 3,Põhja-Tallinn,2,36.6,63000,1721,kivimaja,-,-,-,3,3
Paekalda 22-12,Lasnamäe,3,89.8,185000,2060,-,uus,2020,0,3,5
PIRITA TEE 20A,Kesklinn,2,64,217000,3391,kivimaja,uus,2018,1,4,8
Kärneri 2,Haabersti,2,48.6,134900,2776,-,uus,2018,1,2,4
Kuukressi tee 5-10,Pirita,3,70.4,159000,2259,kivimaja,uus,2020,0,3,3
Aiandi 8/2-5,Mustamäe,3,56.9,139990,2460,kivimaja,uus,2021,0,2,6
Kaaruti 5-29,Haabersti,2,49.3,118900,2412,paneelmaja,uus,2020,0,4,4
Seebi tn 1-1807,Kristiine,2,37.7,149900,3976,kivimaja,uus,2020,0,18,20
Tina 21,Kadriorg,3,92,245000,2663,kivimaja,uus,2006,13,3,7
Liivalaia tn 40,Kesklinn,5,79.9,215000,2691,kivimaja,renoveeritud,1980,39,4,9
Kihnu 16,Lasnamäe,2,49.6,76900,1550,paneelmaja,renoveeritud,1990,29,3,9
Gonsiori 9-32,Pirita,5,191,786900,4120,kivimaja,uus,-,-,6,7
Kadaka tee 191d-3,Haabersti,2,52.9,116900,2210,kivimaja,uus,2020,0,2,5
Saadu 3-6,Haabersti,2,41.6,103900,2498,kivimaja,uus,2020,0,2,2
Tuukri 25-2,Kadriorg,3,68.4,199000,2909,kivimaja,uus,2021,0,1,5
Valge 8,Lasnamäe,2,45.5,92000,2022,kivimaja,renoveeritud,-,-,2,2
Tagala 10A-27,Haabersti,3,71,138000,1944,kivimaja,uus,2019,0,4,4
Remmelga 4-14,Nõmme,4,88.6,212900,2403,kivimaja,uus,2020,0,4,4
Sõpruse pst 243,Mustamäe,2,47.2,75000,1589,-,renoveeritud,-,-,1,5
Vesivärava 50-44,Kesklinn,2,54.3,151000,2781,-,uus,2019,0,5,9
Sõle 7,Põhja-Tallinn,4,76.1,150000,1971,paneelmaja,heas korras,1964,55,1,5
Lasnamäe 4A,Kesklinn,2,55.9,235000,4204,paneelmaja,heas korras,2018,1,6,13
Jõe 5,Kesklinn,1,39.5,123000,3114,kivimaja,-,2006,13,6,9
Luise 17/2-9,Kesklinn,2,44.3,143975,3250,kivimaja,uus,2020,0,1,3
Puhangu 26,Põhja-Tallinn,4,48.8,93000,1906,kivimaja,renoveeritud,1966,53,3,4
Paepargi 50/1-52,Lasnamäe,4,101.5,199900,1969,-,uus,2020,0,12,14
Kärberi 32,Lasnamäe,2,50.6,77500,1532,paneelmaja,renoveeritud,-,-,1,5
Asula 9,Kesklinn,3,80.1,175000,2185,kivimaja,heas korras,1950,69,3,3
Soodi 4-16,Haabersti,3,73.2,190900,2608,kivimaja,uus,2020,0,3,5
Võistluse 6,Kesklinn,2,40.9,155000,3790,paneelmaja,uus,2019,0,10,14
Vilde tee 56,Mustamäe,4,88.3,135000,1529,kivimaja,renoveeritud,1972,47,9,9
Pöörise 7-71,Mustamäe,2,45.4,102000,2247,paneelmaja,uus,2020,0,12,12
Gonsiori 9-32,Kesklinn,5,191,786900,4120,kivimaja,uus,-,-,6,7
Jahu 6-6/2-70,Põhja-Tallinn,3,63.7,213000,3344,paneelmaja,uus,2019,0,2,-
Loitsu tn 10,Lasnamäe,1,32.7,54500,1667,paneelmaja,keskmises seisukorras,1981,38,5,5
Pebre 10,Põhja-Tallinn,3,51,87000,1706,puitmaja,renoveeritud,1910,109,2,2
Järve 2-201,Kristiine,3,65.4,201700,3084,paneelmaja,uus,2020,0,15,18
Oksa tn // Seebi tn 2//4-5,Kristiine,1,28.8,90000,3125,paneelmaja,uus,2020,0,2,4
Talli 5-38,Kristiine,2,50.8,139900,2754,paneelmaja,uus,2020,0,4,4
Lesta tn 10/3-35,Haabersti,3,103.5,320850,3100,paneelmaja,uus,2019,0,1,3
Kase 68,Pirita,4,88.1,210000,2384,-,renoveeritud,2006,13,2,5
Tartu maantee 62,Kesklinn,3,65.5,95000,1450,kivimaja,vajab renoveerimist,1910,109,4,4
Puhangu 10,Põhja-Tallinn,1,24,47700,1988,paneelmaja,san. remont tehtud,1970,49,3,5
Sinika tn 8,Kristiine,1,35.8,79000,2207,kivimaja,heas korras,1949,70,1,5
Pae 52,Lasnamäe,2,53.5,89000,1664,kivimaja,heas korras,-,-,3,3
Järve 2-190,Kristiine,2,43.8,136100,3107,paneelmaja,uus,2020,0,13,18
Vana-Lõuna 23,Kesklinn,2,48.1,115000,2391,-,renoveeritud,-,-,3,3
Sõle 5,Põhja-Tallinn,1,29.8,58500,1963,-,keskmises seisukorras,1969,50,3,5
Uuslinna 9/1,Kesklinn,2,60.5,144900,2395,kivimaja,uus,2015,4,5,5
Mustakivi tee 25,Lasnamäe,2,56.6,99900,1765,kivimaja,uus,2018,1,2,12
Fahle Tartu mnt 84a,Kesklinn,2,55.2,134900,2444,-,-,2006,13,4,4
Saha 23,Nõmme,3,120,130000,1083,kivimaja,renoveeritud,1972,47,1,5
Lesta tn 10/3-47,Haabersti,3,102.6,307800,3000,paneelmaja,uus,2019,0,1,3
Magdaleena 3,Kesklinn,3,81.1,175000,2158,kivimaja,renoveeritud,1997,22,3,5
C. R. Jakobsoni tn 13-32,Kesklinn,3,70,203000,2900,kivimaja,uus,2019,0,5,6
Vesivärava 50-63,Kesklinn,4,103.4,225000,2176,-,uus,2019,0,9,5
Kopli 69E,Põhja-Tallinn,1,18.6,42900,2306,kivimaja,renoveeritud,-,-,1,5
Kotka 8,Kristiine,2,40,90000,2250,kivimaja,renoveeritud,1969,50,4,4
Sütiste tee 36-16,Mustamäe,2,43.5,67900,1561,kivimaja,vajab renoveerimist,1969,50,1,5
Magasini 2b-1,Kesklinn,1,20,44900,2245,puitmaja,vajab renoveerimist,-,-,1,2
Tartu mnt 56,Kesklinn,2,43.8,185000,4224,kivimaja,uus,2016,3,7,8
Vääna 15,Nõmme,1,30.9,55500,1796,-,keskmises seisukorras,1957,62,2,2
Metsa 26,Nõmme,4,107.1,230000,2148,puitmaja,renoveeritud,1926,93,1,2
K.Türnpu tn 11,Kesklinn,2,38.4,85000,2214,puitmaja,-,1932,87,1,3
Joa tn 9,Kadriorg,3,73.7,195000,2646,-,uus,2018,1,2,4
Tuukri 25-6,Kadriorg,2,42.9,155000,3613,kivimaja,uus,2021,0,1,5
Jahu 6-6/2-72,Põhja-Tallinn,1,31.7,147000,4637,paneelmaja,uus,2019,0,3,-
Õismäe tee 102,Haabersti,3,65.5,84000,1282,paneelmaja,vajab san. remonti,1976,43,3,9
Kiisa tn 11,Kesklinn,1,20,35000,1750,kivimaja,heas korras,-,-,1,4
Pae 56,Lasnamäe,3,59.3,85000,1433,paneelmaja,-,1973,46,4,9
Liikuri 18c-61,Lasnamäe,2,42.6,108790,2554,kivimaja,uus,2020,0,7,7
Siili 7c,Mustamäe,3,63.1,115000,1823,kivimaja,renoveeritud,1983,36,6,10
Seebi tn 1-1401,Kesklinn,2,42.5,146900,3456,kivimaja,uus,2020,0,14,20
Raadiku 14,Lasnamäe,2,32.9,69900,2125,paneelmaja,renoveeritud,1985,34,5,5
Päevalille 4-43,Mustamäe,2,39.6,98900,2497,paneelmaja,uus,2020,0,6,15
Nurme 22,Nõmme,2,48.7,105000,2156,kivimaja,renoveeritud,1955,64,2,3
Juhkentali 22,Kesklinn,3,53.9,125000,2319,kivimaja,heas korras,1933,86,2,5
Jahu 5-27,Kesklinn,3,62.1,234900,3783,kivimaja,uus,2020,0,3,3
Merirahu tn 6,Haabersti,3,70.9,182000,2567,-,-,2013,6,3,3
Pirita tee 20A,Kesklinn,3,73.3,320000,4366,-,uus,2018,1,4,10
Kivila 20,Lasnamäe,1,32.5,57000,1754,paneelmaja,keskmises seisukorras,1983,36,4,5
Paepargi 50/2-9,Lasnamäe,2,57.8,118000,2042,paneelmaja,uus,2020,0,3,8
Kuukressi tee 5-12,Pirita,2,54.1,129000,2384,paneelmaja,uus,2020,0,3,3
Heli 7/1-21,Mustamäe,3,65.9,147300,2235,-,uus,2020,0,5,-
Pärnu mnt 26,Kesklinn,5,126.9,256000,2017,-,uus,1935,84,4,5
Seebi tn 1-1905,Kristiine,2,38.6,142900,3702,kivimaja,uus,2020,0,19,20
Köleri 14-2,Kadriorg,2,67.1,188000,2802,puitmaja,uus,-,-,1,3
Mahtra 22,Lasnamäe,1,32.8,57000,1738,paneelmaja,heas korras,1983,36,5,5
Seebi tn 1-1108,Kesklinn,2,44.9,148900,3316,kivimaja,uus,2020,0,11,20
Pirita tee 26F,Pirita,2,92.2,245000,2657,kivimaja,renoveeritud,2003,16,14,16
Lüüsi tn 4-30,Kesklinn,2,50.7,145000,2860,kivimaja,uus,2019,0,1,6
Vasara 2,Põhja-Tallinn,2,39.5,80000,2025,kivimaja,renoveeritud,1962,57,1,4
Paepargi 50/1-32,Lasnamäe,4,101.8,195000,1916,paneelmaja,uus,2020,0,8,14
Paepargi 50/1-38,Lasnamäe,2,63.8,129500,2030,paneelmaja,uus,2020,0,9,14
Tina 23,Kadriorg,4,134,369000,2754,kivimaja,renoveeritud,1923,96,3,5
Seebi tn 1-1903,Kristiine,2,46.2,177900,3851,kivimaja,uus,2020,0,19,20
Mäekalda 10a,Kesklinn,4,104.6,278000,2658,kivimaja,renoveeritud,1998,21,2,4
Kopliranna 41,Põhja-Tallinn,1,16.1,31000,1925,puitmaja,renoveeritud,-,-,2,2
